Hora,Linea,Flujo,Limite,Carga_pct
1,16-17,-405.75,500.0,81.15
2,16-17,-410.71,500.0,82.14
3,16-17,-408.07,500.0,81.61
4,16-17,-426.28,500.0,85.26
5,16-17,-410.74,500.0,82.15
6,16-17,-424.37,500.0,84.87
7,14-16,-393.12,500.0,78.62
8,14-16,-383.38,500.0,76.68
9,14-16,-358.97,500.0,71.79
10,14-16,-355.15,500.0,71.03
11,14-16,-355.15,500.0,71.03
12,14-16,-358.27,500.0,71.65
13,14-16,-358.27,500.0,71.65
14,14-16,-358.86,500.0,71.77
15,14-16,-364.51,500.0,72.9
16,14-16,-364.51,500.0,72.9
17,14-16,-345.78,500.0,69.16
18,14-16,-342.66,500.0,68.53
19,14-16,-342.66,500.0,68.53
20,14-16,-355.85,500.0,71.17
21,14-16,-369.46,500.0,73.89
22,14-16,-390.17,500.0,78.03
23,14-16,-393.08,500.0,78.62
24,16-17,-409.42,500.0,81.88
