Hora,L_1_2,L_1_3,L_1_5,L_2_4,L_2_6,L_3_9,L_3_24,L_4_9,L_5_10,L_6_10,L_7_8,L_8_9,L_8_10,L_9_11,L_9_12,L_10_11,L_10_12,L_11_13,L_11_14,L_12_13,L_12_23,L_13_23,L_14_16,L_15_16,L_15_21,L_15_24,L_16_17,L_16_19,L_17_18,L_17_22,L_18_21,L_19_20,L_20_23,L_21_22
1,25.114166742679004,-67.28647559643275,5.090578853753758,-11.82099876194656,6.956775504625576,58.9000132307112,-238.064093827144,-57.99270876194656,-39.305296146246256,-78.28330449537442,-78.13673999999992,-104.94406964398756,-79.7427703560124,-104.93011295631784,-107.43258721890506,-157.79283836752293,-160.29531263011012,-39.45384159455176,-223.2691097292889,-35.146303929442645,-232.58159591957246,-239.75280052399415,-344.02588972928885,76.54852987449078,-511.7303087016351,238.064093827144,-380.49699629836437,205.8654114435746,-239.6017754132712,-140.89522088509366,-47.37447041327217,92.21197144357497,12.299396443574734,-159.10477911490665
2,24.71688939911099,-64.9659680857445,7.196108686633516,-9.791632425533106,8.134811824644093,61.08573209133593,-231.25004517708044,-53.20682242553312,-34.549266313366495,-72.01630817535593,-73.47185999999994,-98.96968784713579,-74.69107215286418,-98.57542649863895,-94.37406668269398,-149.5027132287658,-145.30135341282082,-25.225544659915204,-222.85259506748957,-32.45739352342704,-207.21802657208772,-212.97573318334162,-336.4000150674895,96.8668873710178,-513.4663975480984,231.25004517708052,-391.1652474519027,248.1885947554233,-249.63328973615006,-141.5319577157531,-45.00164473614905,141.3204347554211,66.17875975542134,-158.46804228424702
3,24.41893139143512,-63.22558745272863,8.7752560612935,-8.26960767322296,9.018339064658084,62.72502123680513,-226.1395086895338,-49.617407673222964,-30.982243938706507,-67.31606093534192,-69.97320000000005,-94.48890149949702,-70.90229850050304,-93.80941165537998,-84.58017628053487,-143.2851193746983,-134.0558839998532,-14.554321958936015,-222.5402090711422,-30.440710718915273,-188.19534956147282,-192.89293267785075,-330.68060907114216,112.1056554934124,-514.7684641829456,226.1395086895339,-399.1664358170563,279.9309822393157,-257.1569254783094,-142.00951033874767,-43.22202547830566,178.15178223931542,106.58828223931498,-157.9904896612524
4,23.86955059045706,-62.92077440854478,8.97438223914033,-8.012203714701016,9.112724305158043,63.22284899150701,-224.66270840005186,-48.670873714701024,-30.120492760859676,-65.94943569484195,-68.80697999999975,-93.01733011632739,-69.61734988367238,-92.35665242478167,-81.5001974147396,-141.44089667470806,-130.58444166466597,-11.19857858071442,-222.59897051877525,-29.885919171770443,-182.19871990763508,-186.5174327524848,-328.9370305187752,117.00083291807609,-515.2447863181275,224.66270840005194,-401.791198681874,290.1221760811757,-259.62821753378205,-142.16298114809203,-42.59223253378134,190.0392960811761,119.66852108117558,-157.83701885190808
5,24.312832278713145,-62.63147780912963,9.29443553041648,-7.7644715444618875,9.308273823175009,63.24160699293326,-224.39216980206294,-48.42314154446189,-29.800439469583523,-65.753886176825,-68.80698000000005,-92.99335502288032,-69.64132497711975,-92.21394108363552,-81.35244349077342,-141.19760410819518,-130.33610651533309,-11.071887387557183,-222.33965780427343,-29.767907834287012,-181.92064217181954,-186.27273022184406,-328.67771780427347,117.22089439784641,-515.1943091999095,224.39216980206294,-401.84167580009205,290.14702739366294,-259.67187677011935,-142.16979902997326,-42.63589177011949,190.0641473936629,119.69337239366212,-157.83020097002685
6,15.867763554796237,-68.45655028899685,2.557386734200608,-13.01842255927074,5.215986114066965,61.80158398815777,-230.44703427715467,-54.36622255927074,-37.2001132657994,-71.11841388593304,-69.97320000000005,-94.90735875432179,-70.48384124567825,-96.39174694798514,-88.08855037744955,-147.62298248397312,-139.31978591343756,-18.379608212295253,-225.6351212196629,-32.67199575174176,-194.7363405391453,-198.9495039640363,-333.77552121966295,108.6018284535443,-515.5721627306991,230.44703427715476,-398.3627372693018,272.5285445031847,-256.4617814986455,-141.90095577065728,-42.52688149864408,170.74934450318338,99.1858445031833,-158.09904422934292
7,28.941184959917777,-77.80642394924712,4.733178989329357,-14.353623683894666,7.008228643812524,68.86082766114676,-270.23356161039385,-65.34924368389466,-44.30107101067065,-87.13753135618748,-86.30028000000085,-116.30047603678462,-87.6820039632162,-115.60921982368578,-116.8232422358467,-175.6398719589567,-176.85389437111763,-41.02106672633481,-250.22802505630787,-38.93135601687748,-254.7457805900871,-262.3598327432122,-383.6011850563079,150.60389856172483,-483.5495301721185,270.23356161039396,-386.97017982788344,240.32494333330223,-243.79326542087557,-143.17691440700793,-73.27355542087592,114.79726333330271,26.53561333330245,-156.8230855929923
8,-21.116527383769885,-48.58122713162338,40.509414515391576,18.24904448548771,35.13380813074244,67.33932779758439,-259.52464492920785,-41.01613551451229,-16.476335484608427,-74.27883186925756,-100.29491999999998,-131.33385111996196,-105.72686888003803,-114.78131530585333,-129.2745735310365,-168.4950090043604,-182.98826722954357,-55.22476037146445,-228.05156393874924,-30.27734867237865,-281.98549208820134,-297.48909904384345,-383.0528039387492,114.98772037426882,-472.5290953034769,259.52464492920774,-360.77759469652426,167.93246113204378,-218.72584839910624,-142.0517462974186,-85.41915839910516,22.04894113204369,-80.5254088679568,-157.9482537025815
9,16.985248263567332,-22.41377606245953,61.7454777988922,35.08823037795328,48.28586788561407,52.58607500175842,-233.63227606421796,-30.379119622046712,-1.2038972011078055,-72.57693211438595,33.18410000000164,-69.88159873326828,-48.01280126673011,-91.07704214155355,-110.194076212003,-136.9494482558872,-156.06648232633663,-40.980932994781654,-187.0455574026591,-8.07456287351623,-258.1859956648234,-283.22717086829766,-358.2678574026591,102.8038204042563,-460.9313214684739,233.632276064218,-344.4656035315276,155.87244153312173,-202.80762373232866,-141.65797979919958,-97.4106987323281,-5.27795846687869,-118.58683346687874,-158.34202020080062
10,16.49062447047688,-21.768941122842172,60.58807665236531,34.387679624923756,47.590624845553165,49.42516182337926,-231.49634294622143,-31.768800375076232,-3.0239233476346947,-74.54441515444685,58.52287999999386,-57.95177420237742,-36.19414579762878,-87.91759631756085,-107.59109643651354,-133.55681209037883,-153.2303122093315,-39.35213448624236,-182.1222739216973,-5.487912970012347,-255.33349567583267,-281.4766874562547,-355.1469139216973,100.84731223261525,-459.78093517883667,231.49634294622146,-342.5149048211639,154.15850313208696,-200.91935082027052,-141.59555400089388,-98.62351082026794,-8.688216867912782,-123.18981686791284,-158.40444599910623
11,16.490624470476618,-21.768941122841625,60.588076652365004,34.387679624923656,47.59062484555296,49.42516182337806,-231.4963429462197,-31.768800375076335,-3.023923347635005,-74.54441515444705,58.522880000001486,-57.951774202373514,-36.194145797625026,-87.9175963175594,-107.59109643651237,-133.55681209037706,-153.23031220933004,-39.35213448624201,-182.12227392169447,-5.487912970011494,-255.33349567583096,-281.4766874562533,-355.1469139216945,100.84731223261655,-459.7809351788365,231.4963429462197,-342.5149048211643,154.15850313208435,-200.9193508202709,-141.59555400089394,-98.62351082026794,-8.688216867915243,-123.18981686791581,-158.40444599910623
