Hora,Demanda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Cap_comprometida,Eolica_disp,Eolica_uso,Vertimiento,Charge,Discharge,BESS_net,SOC_MWh,SOC_pct
1,1775.835,30.400000000000006,30.400000000000013,1.1368683772161603e-13,1.4210854715202004e-13,-5.684341886080802e-14,0.0,155.0000000000084,399.999999999999,400.0000000000007,300.0000000000001,310.000000000001,150.03499999999065,1,1,0,0,0,0,1,1,1,1,1,1,2219.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0
2,1669.815,30.400000000000006,30.400000000000002,8.526512829121202e-14,5.115907697472721e-13,0.0,0.0,154.99999999999187,400.0000000000013,400.0000000000007,299.9999999999999,214.01500000000814,140.0,1,1,0,0,0,0,1,1,1,1,1,1,2219.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0
3,1590.3,30.399999999999995,30.400000000000006,-5.684341886080802e-14,5.684341886080801e-13,6.252776074688882e-13,0.0,154.99999999998846,400.0000000000034,399.99999999999966,300.00000000000006,134.50000000000844,140.0,1,1,0,0,0,0,1,1,1,1,1,1,2219.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0
4,1563.795,30.399999999999984,30.399999999999974,2.4158453015843406e-13,-2.842170943040401e-14,2.8421709430404007e-13,0.0,155.00000000000017,400.00000000000136,400.00000000000057,299.99999999999994,109.04763157894425,140.0,1,1,0,0,0,0,1,1,1,1,1,1,2219.0,0.0,0.0,0.0,1.0526315789473684,0.0,-1.0526315789473684,81.0,81.0
5,1563.795,30.39999999999999,30.399999999999984,-4.263256414560601e-14,-2.842170943040401e-14,-5.115907697472721e-13,0.0,154.49499999999807,399.9999999999991,400.0000000000024,299.99999999999994,108.50000000000136,140.0,1,1,0,0,0,0,1,1,1,1,1,1,2219.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0
6,1590.3,30.4,30.399999999999984,-5.684341886080802e-14,6.252776074688882e-13,-7.389644451905042e-13,0.0,155.00000000000227,400.00000000000114,400.0000000000007,299.9999999999999,154.49999999999812,140.0,1,1,0,0,0,0,1,1,1,1,1,1,2219.0,0.0,0.0,0.0,20.0,0.0,-20.0,100.0,100.0
7,1961.37,30.40000000000001,30.40000000000009,-8.526512829121202e-13,8.526512829121202e-14,5.684341886080802e-14,155.0,155.00000000000134,400.00000000000045,400.0000000000025,299.9999999999999,310.0,180.5699999999965,1,1,0,0,0,1,1,1,1,1,1,1,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
8,2279.43,57.42999999999831,152.00000000000003,0.0,-3.410605131648481e-13,-6.252776074688882e-13,155.0,154.99999999999983,400.0000000000008,400.00000000000114,299.9999999999999,310.0000000000014,350.0,1,1,0,0,0,1,1,1,1,1,1,1,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
9,2517.975,152.0,152.00000000000003,143.97500000000164,1.8474111129762605e-13,-5.684341886080802e-14,155.0,154.99999999999693,400.00000000000045,400.0000000000018,300.00000000000006,309.9999999999993,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
10,2544.48,152.00000000000003,152.00000000000006,170.47999999999385,-1.4210854715202004e-14,-2.8421709430404007e-13,155.0,155.00000000000463,400.0000000000025,399.9999999999992,300.00000000000006,310.00000000000017,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
11,2544.48,152.0,152.0,170.48000000000147,2.5579538487363607e-13,-2.2737367544323206e-13,155.0,154.99999999999824,400.0000000000034,399.9999999999985,300.00000000000006,310.0000000000003,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,-0.0,-0.0,100.0,100.0
12,2517.975,152.0,152.00000000000003,143.97500000000164,1.8474111129762605e-13,-5.684341886080802e-14,155.0,154.99999999999693,400.00000000000045,400.0000000000018,300.00000000000006,309.9999999999993,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
13,2517.975,152.0,152.00000000000003,123.9749999999949,5.684341886080802e-14,1.7053025658242404e-13,155.0,154.99999999999937,400.0000000000009,400.00000000000466,299.99999999999983,310.0000000000001,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,20.0,20.0,78.94736842105263,78.94736842105263
14,2517.975,152.0,152.0,143.97500000000196,1.1368683772161603e-13,8.526512829121202e-13,155.0,154.99999999999903,399.9999999999991,400.0000000000001,300.00000000000006,310.0,350.0000000000003,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
15,2464.965,152.00000000000003,152.0,90.9649999999998,6.536993168992922e-13,-2.2737367544323206e-13,155.0,154.99999999999977,400.00000000000233,400.00000000000034,300.00000000000006,309.9999999999997,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
16,2464.965,152.0,152.0,90.96499999999622,-1.4210854715202004e-14,3.410605131648481e-13,155.0,155.00000000000108,399.99999999999824,400.0000000000034,300.0000000000001,310.0000000000002,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
17,2623.995,151.99999999999997,152.00000000000003,232.99500000000063,4.689582056016661e-13,3.979039320256561e-13,155.0,154.99999999999977,399.9999999999995,400.0000000000002,300.0,309.9999999999998,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,16.999999999999996,16.999999999999996,61.05263157894737,61.05263157894737
18,2650.5,152.0,152.0,276.49999999999994,2.4158453015843406e-13,1.1368683772161603e-13,155.0,154.9999999999994,400.00000000000017,400.0000000000007,299.99999999999994,310.0000000000001,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,61.05263157894737,61.05263157894737
19,2650.5,151.99999999999997,151.99999999999997,276.4999999999976,-4.263256414560601e-14,4.547473508864641e-13,155.0,154.99999999999898,399.9999999999988,400.00000000000375,299.9999999999999,310.00000000000034,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,61.05263157894737,61.05263157894737
20,2544.48,152.0,152.0,150.48000000000025,0.0,-5.684341886080801e-13,155.0,155.0,400.00000000000114,400.0000000000008,299.99999999999983,310.0000000000002,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,40.0
21,2411.955,114.9549999999993,152.0,75.00000000000018,4.263256414560601e-13,-6.252776074688882e-13,155.0,155.00000000000097,400.0000000000005,400.0000000000009,300.0,310.0,350.00000000000006,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0
