Hora,Linea,Flujo,Limite,Carga_pct
1,16-17,-378.09,500.0,75.62
2,16-17,-388.76,500.0,77.75
3,16-17,-398.39,500.0,79.68
4,16-17,-399.43,500.0,79.89
5,16-17,-399.43,500.0,79.89
6,16-17,-396.76,500.0,79.35
7,14-16,-393.12,500.0,78.62
8,14-16,-383.38,500.0,76.68
9,14-16,-358.27,500.0,71.65
10,14-16,-355.15,500.0,71.03
11,14-16,-355.15,500.0,71.03
12,14-16,-358.27,500.0,71.65
13,14-16,-358.27,500.0,71.65
14,14-16,-358.27,500.0,71.65
15,14-16,-364.51,500.0,72.9
16,14-16,-364.51,500.0,72.9
17,14-16,-345.78,500.0,69.16
18,14-16,-342.66,500.0,68.53
19,14-16,-342.66,500.0,68.53
20,14-16,-355.15,500.0,71.03
21,14-16,-369.59,500.0,73.92
22,14-16,-389.72,500.0,77.94
23,14-16,-391.21,500.0,78.24
24,16-17,-413.9,500.0,82.78
