Hora,L_1_2,L_1_3,L_1_5,L_2_4,L_2_6,L_3_9,L_3_24,L_4_9,L_5_10,L_6_10,L_7_8,L_8_9,L_8_10,L_9_11,L_9_12,L_10_11,L_10_12,L_11_13,L_11_14,L_12_13,L_12_23,L_13_23,L_14_16,L_15_16,L_15_21,L_15_24,L_16_17,L_16_19,L_17_18,L_17_22,L_18_21,L_19_20,L_20_23,L_21_22
1,25.114166742678957,-67.28647559643265,5.090578853753702,-11.820998761946575,6.95677550462554,58.900013230710954,-238.0640938271436,-57.99270876194658,-39.305296146246306,-78.28330449537447,-78.13674000000005,-104.9440696439876,-79.74277035601246,-104.93011295631776,-107.43258721890541,-157.79283836752276,-160.29531263011043,-39.45384159455256,-223.26910972928792,-35.146303929442645,-232.5815959195732,-239.752800523995,-344.02588972928794,76.5485298744924,-511.7303087016366,238.06409382714372,-380.4969962983657,205.86541144357057,-239.60177541327275,-140.89522088509378,-47.37447041327301,92.21197144357114,12.299396443571265,-159.10477911490634
2,23.428261915860958,-62.308273456975314,5.82704154111433,-10.210821793917086,7.265373709778032,55.41331148267627,-222.91992993965158,-53.626011793917094,-35.91833345888568,-72.88574629022197,-73.47186000000002,-98.598857420693,-75.06190257930706,-97.28315339204687,-101.38711933988688,-146.65471819028735,-150.75868413812736,-39.41225353942408,-204.5256180429101,-32.34804985871586,-219.79775361929836,-227.05309839813975,-318.0730380429102,103.64276888823801,-511.91216382788963,222.9199299396517,-392.7194811721112,178.86068701743898,-250.9775950314774,-141.74188614063394,-46.34595003147671,71.99252701743865,-3.149147982562126,-158.2581138593663
3,23.066332350569887,-60.43595642862574,7.3382240780558385,-8.709606932114337,8.10573928268422,56.77100366820066,-217.39586009682645,-50.05740693211434,-32.41927592194416,-68.22866071731579,-69.97320000000006,-94.09966187388763,-71.29153812611243,-92.45298601086093,-91.9413791269403,-140.29574082464651,-139.78413394072587,-29.44530408750402,-203.30342274800344,-30.325938887695266,-201.3995741799709,-207.66914297519918,-311.44382274800336,119.2179132718131,-513.1370733686393,217.3958600968265,-400.797826631358,207.16141715516545,-258.5679663545296,-142.2298602768291,-44.63306635453145,105.38221715516418,33.818717155164066,-157.77013972317116
4,22.96701301467814,-59.855829550954084,7.86460653627596,-8.202265348010949,8.400248362688961,57.31743338335763,-215.69234793431175,-48.860935348010955,-31.230268463724048,-66.66191163731104,-68.8069800000004,-92.60606642467492,-70.0286135753255,-90.86431439644153,-88.67674899288646,-138.22320953995782,-136.03564413640274,-25.88822985384245,-203.19929408255567,-29.65371128619136,-195.05868184309765,-200.9748761400337,-309.5373540825557,124.29750264594583,-513.5710955802571,215.69234793431173,-403.464889419745,217.74221298313623,-261.0758449352514,-142.38904448449395,-44.03985993524836,117.65933298313654,47.28855798313638,-157.61095551550622
5,22.967013014678027,-59.855829550953956,7.864606536275923,-8.202265348010926,8.400248362688943,57.31743338335745,-215.69234793431144,-48.86093534801093,-31.23026846372408,-66.66191163731106,-68.80698000000018,-92.60606642467478,-70.02861357532542,-90.86431439644136,-88.67674899288687,-138.2232095399575,-136.03564413640302,-25.88822985384336,-203.19929408255555,-29.65371128619125,-195.05868184309836,-200.97487614003455,-309.53735408255545,124.29750264594387,-513.5710955802555,215.6923479343114,-403.46488941974235,217.74221298313384,-261.0758449352491,-142.38904448449395,-44.03985993525088,117.65933298313406,47.2885579831334,-157.61095551550622
6,24.418931391435244,-63.22558745272888,8.775256061293616,-8.26960767322293,9.018339064658157,62.72502123680563,-226.13950868953455,-49.617407673222935,-30.982243938706393,-67.31606093534185,-69.97319999999992,-94.48890149949702,-70.90229850050295,-93.80941165538009,-84.5801762805342,-143.28511937469855,-134.05588399985268,-14.554321958934592,-222.540209071144,-30.440710718915213,-188.19534956147172,-192.89293267784953,-330.680609071144,112.10565549341078,-514.7684641829456,226.13950868953464,-399.1664358170548,279.93098223932236,-257.1569254783071,-142.0095103387478,-43.22202547830902,178.151782239322,106.58828223932142,-157.9904896612524
7,28.941184959917724,-77.80642394924703,4.733178989329229,-14.353623683894728,7.0082286438124415,68.86082766114647,-270.23356161039356,-65.34924368389473,-44.30107101067077,-87.13753135618755,-86.3002799999994,-116.30047603678389,-87.68200396321552,-115.6092198236856,-116.82324223584659,-175.6398719589564,-176.8538943711174,-41.02106672633458,-250.22802505630725,-38.93135601687714,-254.7457805900864,-262.35983274321165,-383.60118505630726,150.60389856172483,-483.54953017211767,270.2335616103935,-386.97017982788344,240.32494333330223,-243.79326542087634,-143.17691440700773,-73.2735554208734,114.79726333330245,26.53561333330245,-156.8230855929923
8,-21.116527383769114,-48.58122713162289,40.50941451539213,18.249044485488135,35.133808130742786,67.33932779758445,-259.52464492920734,-41.016135514511866,-16.47633548460787,-74.27883186925723,-100.29491999999998,-131.33385111996193,-105.72686888003807,-114.7813153058531,-129.2745735310362,-168.49500900435999,-182.9882672295431,-55.22476037146422,-228.05156393874884,-30.277348672378537,-281.9854920882007,-297.48909904384277,-383.0528039387487,114.98772037426978,-472.5290953034769,259.52464492920745,-360.7775946965249,167.93246113204475,-218.725848399107,-142.0517462974186,-85.41915839910432,22.04894113204369,-80.5254088679568,-157.9482537025815
9,16.985248263567346,-22.413776062459558,61.74547779889221,35.08823037795329,48.285867885614074,52.58607500175847,-233.63227606421805,-30.37911962204671,-1.2038972011077909,-72.57693211438593,33.184100000001244,-69.88159873326849,-48.01280126673031,-91.07704214155368,-110.19407621200304,-136.94944825588732,-156.0664823263367,-40.98093299478161,-187.04555740265945,-8.074562873516316,-258.1859956648234,-283.22717086829755,-358.26785740265933,102.80382040425502,-460.9313214684728,233.63227606421808,-344.4656035315263,155.8724415331224,-202.80762373232676,-141.65797979919944,-97.41069873232895,-5.27795846687787,-118.58683346687825,-158.34202020080062
10,16.490624470476785,-21.768941122841948,60.58807665236513,34.38767962492369,47.590624845553045,49.425161823378716,-231.49634294622064,-31.7688003750763,-3.0239233476348795,-74.54441515444698,58.522879999999674,-57.95177420237446,-36.194145797625914,-87.91759631755971,-107.59109643651249,-133.5568120903775,-153.23031220933026,-39.35213448624178,-182.12227392169632,-5.487912970011579,-255.33349567583105,-281.47668745625333,-355.14691392169624,100.84731223261686,-459.78093517883735,231.49634294622072,-342.51490482116486,154.15850313208765,-200.9193508202713,-141.595554000894,-98.62351082026836,-8.688216867911962,-123.18981686791184,-158.40444599910614
11,16.490624470476735,-21.768941122841856,60.58807665236512,34.38767962492369,47.59062484555304,49.42516182337855,-231.4963429462204,-31.768800375076303,-3.023923347634887,-74.54441515444698,58.522879999998565,-57.95177420237501,-36.19414579762647,-87.91759631755997,-107.59109643651279,-133.55681209037775,-153.23031220933055,-39.35213448624205,-182.12227392169555,-5.487912970011778,-255.33349567583156,-281.47668745625384,-355.1469139216956,100.84731223261686,-459.7809351788371,231.49634294622052,-342.5149048211643,154.158503132086,-200.91935082027052,-141.595554000894,-98.62351082027004,-8.688216867914695,-123.18981686791481,-158.404445999106
12,16.985248263567378,-22.413776062459632,61.74547779889225,35.088230377953295,48.285867885614095,52.58607500175863,-233.63227606421827,-30.3791196220467,-1.2038972011077538,-72.57693211438591,33.18409999999998,-69.88159873326913,-48.01280126673092,-91.07704214155389,-110.1940762120033,-136.94944825588757,-156.066482326337,-40.98093299478175,-187.04555740265974,-8.0745628735164,-258.18599566482385,-283.227170868298,-358.26785740265973,102.80382040425502,-460.931321468473,233.6322760642183,-344.4656035315266,155.8724415331224,-202.8076237323279,-141.65797979919944,-97.41069873232769,-5.277958466878417,-118.58683346687825,-158.34202020080062
