Hora,Demanda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Cap_comprometida,Eolica_disp,Eolica_uso,Vertimiento,Charge,Discharge,BESS_net,SOC_MWh,SOC_pct
1,1775.835,-5.4578563890572696e-12,55.83500000001262,-2.842170943040401e-14,2.842170943040401e-14,-3.581135388230905e-12,155.0,154.99999999999676,399.99999999999216,399.9999999999968,300.0,310.0000000000081,-0.0,0,1,0,0,0,1,1,1,1,1,1,0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1669.815,4.309441692385008e-12,30.399999999995647,-1.1368683772161603e-13,-2.842170943040401e-14,-2.5011104298755527e-12,155.0,154.9999999999987,399.99999999999403,400.00000000000045,300.0,229.4150000000079,-0.0,0,1,0,0,0,1,1,1,1,1,1,0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1590.3,4.292566302410705e-12,30.399999999995636,5.684341886080802e-14,1.2789769243681803e-13,-2.3305801732931286e-12,155.0,54.25000000000091,399.9999999999957,399.9999999999991,300.0000000000001,250.65000000000742,-0.0,0,1,0,0,0,1,1,1,1,1,1,0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1563.795,4.276579090856103e-12,30.399999999995504,-7.105427357601002e-14,1.2789769243681803e-13,-5.115907697472721e-13,155.0,154.99999999999963,399.9999999999941,399.9999999999993,300.0,123.3950000000041,-0.0,0,1,0,0,0,1,1,1,1,1,1,0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1563.795,4.282796339794004e-12,30.399999999995636,-1.4210854715202004e-14,-2.1316282072803006e-14,-2.5579538487363607e-12,155.0,154.99999999999784,399.9999999999932,400.0000000000034,300.0000000000001,123.39500000000763,-0.0,0,1,0,0,0,1,1,1,1,1,1,0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1590.3,4.329508973555107e-12,30.399999999995675,-1.1368683772161603e-13,7.105427357601002e-14,-5.115907697472721e-13,54.25,95.65000000000668,399.99999999999386,400.0000000000002,300.00000000000034,309.99999999999943,2.8421709430404007e-12,0,1,0,0,0,1,1,1,1,1,1,0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1961.37,4.227729277772596e-12,141.54040562869147,1.1368683772161603e-12,-5.684341886080801e-13,-5.115907697472721e-13,155.0,154.99999999999886,399.999999999995,399.9999999999998,300.0,269.82959437130796,140.00000000000207,0,1,0,0,0,1,1,1,1,1,1,1,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2279.43,142.43391671247605,152.0,75.00000000000006,-2.8421709430404007e-13,-9.663381206337363e-13,155.0,155.00000000000097,399.9999999999967,400.0000000000002,300.0000000000002,309.9999999999994,189.99608328752993,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2517.975,152.0,152.0,229.03979806957133,2.5579538487363607e-13,-3.296918293926865e-12,155.0,154.99999999999994,399.99999999999545,399.9999999999984,300.0000000000001,309.9999999999993,264.9352019304399,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2544.48,152.0,151.99999999999997,247.14370357159754,-1.4210854715202004e-14,-1.0231815394945443e-12,155.0,154.99999999999963,399.99999999999795,399.9999999999998,300.0000000000001,309.9999999999995,273.3362964284099,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2544.48,152.0,152.0,247.14370357159268,-9.947598300641403e-14,-1.0231815394945443e-12,155.0,155.00000000000358,400.0000000000007,400.00000000000045,300.0,309.9999999999985,273.3362964284047,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2517.975,152.0,152.0,229.03979806956767,1.6342482922482304e-13,-5.684341886080801e-13,155.0,155.00000000000585,400.0,400.00000000000114,300.0,309.99999999999955,264.93520193042764,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2517.975,152.00000000000006,152.00000000000003,229.03979806957017,1.4210854715202004e-14,-2.2737367544323206e-13,155.0,155.0000000000004,399.9999999999982,399.99999999999886,300.0,309.99999999999955,264.9352019304338,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2517.975,151.99999999999997,152.0,229.0397980695686,1.4210854715202004e-14,-5.684341886080801e-13,155.0,155.00000000000404,400.00000000000455,399.9999999999998,299.9999999999999,310.0,264.9352019304281,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2464.965,152.0,152.0,192.83198706551912,1.4210854715202004e-14,-1.1368683772161603e-12,155.0,155.0000000000041,400.00000000000324,400.0000000000009,299.99999999999966,309.99999999999915,248.13301293447785,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2464.965,152.0,152.0,192.83198706552167,0.0,3.410605131648481e-13,155.0,155.00000000000045,399.99999999999505,399.9999999999993,300.0000000000001,309.99999999999915,248.13301293448217,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2623.995,152.0,152.0,301.4554200776657,3.552713678800501e-14,-7.389644451905042e-13,155.0,155.00000000000304,400.0000000000045,399.99999999999864,300.0,309.9999999999991,298.5395799223329,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2650.5,152.0,152.0,319.55932557969317,1.5631940186722204e-13,-1.0231815394945443e-12,155.0,155.00000000000028,399.9999999999961,399.99999999999864,299.9999999999999,310.00000000000006,306.94067442031655,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2650.5,151.99999999999994,151.99999999999994,319.55932557969237,-7.105427357601002e-15,2.2737367544323206e-13,155.0,155.00000000000028,399.99999999999517,400.0,300.0000000000001,310.0000000000007,306.94067442031155,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2544.48,152.0,152.0,247.14370357159555,3.552713678800501e-14,-5.9117155615240335e-12,155.0,155.00000000000128,399.99999999999704,399.99999999999864,299.9999999999999,310.0000000000006,273.3362964284129,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2411.955,152.0,151.99999999999997,156.6241760614725,2.7711166694643907e-13,-7.389644451905042e-13,155.0,155.00000000000003,399.9999999999964,399.9999999999998,300.0000000000002,310.0,231.33082393853277,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2199.915,84.02696038424648,152.0,74.99999999999935,0.0,9.094947017729282e-13,155.0,154.99999999999974,399.99999999999653,400.0000000000007,300.0,310.00000000000045,168.88803961575945,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1934.865,6.426859044950106e-12,122.21759547843662,-4.263256414560601e-14,1.6342482922482304e-13,8.526512829121202e-13,155.0,154.9999999999988,399.99999999999346,400.00000000000114,299.9999999999998,262.6474045215668,139.99999999999625,0,1,0,0,0,1,1,1,1,1,1,1,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1669.815,1.0658141036401503e-14,-2.1316282072803006e-14,-5.684341886080802e-14,1.2789769243681803e-13,-9.094947017729282e-13,104.81500000000597,154.99999999999636,399.9999999999922,400.00000000000364,299.9999999999998,310.0000000000018,0.0,0,0,0,0,0,1,1,1,1,1,1,0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
