Hora,Linea,Flujo,Limite,Carga_pct
1,16-17,-378.23,500.0,75.65
2,16-17,-389.43,500.0,77.89
3,16-17,-398.39,500.0,79.68
4,16-17,-401.06,500.0,80.21
5,16-17,-401.06,500.0,80.21
6,16-17,-396.76,500.0,79.35
7,14-16,-393.12,500.0,78.62
8,14-16,-383.05,500.0,76.61
9,14-16,-358.27,500.0,71.65
10,14-16,-355.24,500.0,71.05
11,14-16,-355.47,500.0,71.09
12,14-16,-358.68,500.0,71.74
13,14-16,-358.69,500.0,71.74
14,14-16,-358.77,500.0,71.75
15,14-16,-365.07,500.0,73.01
16,14-16,-365.07,500.0,73.01
17,14-16,-346.83,500.0,69.37
18,14-16,-343.34,500.0,68.67
19,14-16,-343.29,500.0,68.66
20,14-16,-355.63,500.0,71.13
21,14-16,-369.46,500.0,73.89
22,14-16,-389.78,500.0,77.96
23,14-16,-389.66,500.0,77.93
24,16-17,-414.01,500.0,82.8
