Hora,L_1_2,L_1_3,L_1_5,L_2_4,L_2_6,L_3_9,L_3_24,L_4_9,L_5_10,L_6_10,L_7_8,L_8_9,L_8_10,L_9_11,L_9_12,L_10_11,L_10_12,L_11_13,L_11_14,L_12_13,L_12_23,L_13_23,L_14_16,L_15_16,L_15_21,L_15_24,L_16_17,L_16_19,L_17_18,L_17_22,L_18_21,L_19_20,L_20_23,L_21_22
1,37.94091849763748,-59.440031342030714,14.417382844393233,-4.6977764328748615,12.66030493051234,60.285169103682826,-231.60280544571356,-50.869486432874865,-29.978492155606776,-72.57977506948767,-78.13673999999989,-104.31638376175044,-80.3704562382495,-101.05661001741021,-102.1700260735322,-151.28604370361094,-152.39945975973293,-33.71591221451154,-218.62674150650963,-31.799376380203174,-222.77010945306196,-230.66794359471362,-339.3835215065096,81.8042704342931,-510.52476088000645,231.60280544571364,-381.70254411999645,216.96906804778004,-240.64449138276785,-141.05805273722947,-48.41718638276622,103.31562804778028,23.403053047780173,-158.94194726277075
2,36.19104211320437,-54.32989280723984,15.085880694035465,-3.1084093553527365,12.925741468557083,56.51687039570366,-216.04510820294357,-46.52359935535274,-26.65949430596454,-67.22537853144294,-73.4718599999999,-97.95276233928927,-75.70799766071066,-93.34549791521245,-96.47270838372589,-140.00654001480234,-143.1337504833158,-34.37859740844146,-198.9734405215733,-28.9956941429675,-210.6107647240741,-218.6670865514082,-312.52086052157324,109.23488570922015,-510.6294589121636,216.04510820294348,-394.0021860878371,186.5226862754837,-252.08704658186764,-141.91513950597022,-47.45540158186636,79.65452627548368,4.512851275482811,-158.08486049402995
3,37.191981943778764,-55.2683886167248,18.04500667294604,-1.1638542973578176,14.685636241136564,63.873789315490406,-219.3310779322152,-42.511654297357815,-21.71249332705396,-61.64876375886344,-69.97320000000003,-93.84576193485363,-71.54543806514646,-89.88205558914669,-79.60987132757427,-136.65963970631816,-126.38745544474574,-9.40759782469288,-217.13409747077202,-27.089226471661814,-178.90810030065825,-184.39472429635452,-325.2744974707719,117.64376857046726,-513.4981465026833,219.33107793221527,-400.43675349731734,288.1455245970124,-258.2556629217949,-142.18109057552198,-44.32076292179818,186.3663245970126,114.80282459701236,-157.81890942447825
4,35.7937647696366,-52.00938529655214,17.191410526915487,-1.0790430189392104,14.103777788575762,58.70258925632952,-209.23105955288167,-41.73771301893921,-21.90346447308452,-60.95838221142424,-68.80697999999981,-91.9783805424375,-70.65629945756233,-86.99081145753381,-83.41418784751338,-131.71641487604577,-128.13979126602533,-20.150300473801547,-198.55692585977758,-26.306783736951495,-185.24719537658677,-191.89001921075297,-304.8949858597776,129.55324320574618,-512.3655477586278,209.23105955288173,-404.6704372413754,228.84586958734474,-262.1185609047461,-142.5518763366297,-45.08257590474409,128.76298958734515,58.39221458734479,-157.4481236633703
5,36.73682501405918,-53.954374192711924,18.193339178652717,-0.7722663644397183,14.74006137849886,62.85385440875237,-215.32731360146437,-41.430936364439724,-20.901535821347288,-60.322098621501155,-68.80697999999995,-92.2497665225957,-70.38491347740427,-87.93653968978433,-78.2818037884987,-133.80067191076918,-124.14593600948356,-9.767997351010614,-211.96921424954283,-26.38680504994488,-176.0409347480374,-181.5877374009544,-318.3072742495429,124.59442883707227,-513.5029874385365,215.32731360146434,-403.53299756146635,279.5823271489923,-261.1347537945688,-142.39824376689745,-44.0987687945684,179.4994471489925,109.12867214899222,-157.6017562331026
6,37.191981943778764,-55.2683886167248,18.04500667294604,-1.1638542973578176,14.685636241136564,63.873789315490406,-219.3310779322152,-42.511654297357815,-21.71249332705396,-61.64876375886344,-69.97320000000003,-93.84576193485363,-71.54543806514646,-89.88205558914669,-79.60987132757427,-136.65963970631816,-126.38745544474574,-9.40759782469288,-217.13409747077202,-27.089226471661814,-178.90810030065825,-184.39472429635452,-325.2744974707719,117.64376857046726,-513.4981465026833,219.33107793221527,-400.43675349731734,288.1455245970124,-258.2556629217949,-142.18109057552198,-44.32076292179818,186.3663245970126,114.80282459701236,-157.81890942447825
7,41.02539136424295,-70.41421322266392,13.520050885559835,-7.642767300857267,12.381578665100124,70.1657963539947,-264.1463195766586,-58.638387300857275,-35.514199114440174,-81.76418133489987,-86.30028000000014,-115.70912711985355,-88.27335288014666,-111.95995538669197,-111.86533268002434,-169.50975801807718,-169.41513531140953,-35.61530817682069,-245.8544052279478,-35.778183327642026,-245.50228466379116,-253.80090150446264,-379.2275652279477,155.55538237816828,-482.41377195482664,264.1463195766586,-388.1059380451762,250.7858051953971,-244.77561818151037,-143.33031986366584,-74.25590818151097,125.25812519539757,36.99647519539786,-156.6696801363343
8,-18.650316335955306,-48.52349806425618,40.597823428921195,18.176002919781727,35.06071171555235,67.37857462934811,-259.50616269360427,-41.08917708021827,-16.387926571078804,-74.35192828444765,-100.29491999999938,-131.32912494270266,-105.73159505729679,-114.79638226871121,-129.28857512486155,-168.49024852833642,-182.98244138448675,-55.22591148860421,-228.06071930844337,-30.280333621460215,-281.990682887888,-297.49323511006463,-383.0619593084433,115.00275419253597,-472.5256468861398,259.5061626936044,-360.78104311386056,167.94178799795398,-218.72883104298094,-142.05221207088007,-85.4221410429803,22.058267997952463,-80.51608200204774,-157.9477879291201
9,25.410574083700524,-18.381834028981856,68.01252466692546,39.67063718043492,52.12878690326562,55.297599268661635,-232.3118582976435,-25.796712819565066,5.063149666925456,-68.73401309673439,14.459785278358812,-78.97273532808464,-57.64597939355654,-92.01370123655073,-111.05462264243735,-136.74911070873944,-155.79003211462606,-41.06317172150881,-187.69964022378127,-8.287815203179417,-258.55683955388395,-283.522661924688,-358.92194022378135,103.87787449408918,-460.68495779173253,232.3118582976435,-344.71196720826896,156.53877647857396,-203.02071137218198,-141.69125583608746,-97.62378637218156,-4.6116235214279895,-117.92049852142804,-158.30874416391256
10,29.989637831527745,-15.30898449412178,70.62910666259404,41.729588053515776,53.74772977801194,53.76955195014109,-229.3807764442629,-24.426891946484222,7.017106662594037,-68.38731022198807,28.52287999999949,-72.51754613576594,-51.628373864234604,-89.41830666491565,-108.9698594671934,-133.23583231067545,-152.78738511295322,-39.48389694796465,-183.17024202762633,-5.829584747322612,-255.92765983282325,-281.9501216952912,-356.1948820276263,102.56815612858865,-459.3862125728514,229.38077644426295,-342.9096274271517,155.22610152811401,-201.26075873242414,-141.6488686947283,-98.96491873242199,-7.6206184718858285,-122.12221847188573,-158.35113130527193
