Hora,Demanda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Cap_comprometida,Eolica_disp,Eolica_uso,Vertimiento,Charge,Discharge,BESS_net,SOC_MWh,SOC_pct
1,1775.835,2.220446049250313e-15,7.105427357601002e-15,1.4210854715202004e-14,2.842170943040401e-14,-3.979039320256561e-13,-0.0,154.99999999999852,399.9999999999958,399.99999999999636,300.0000000000001,309.9999999999999,207.4882732925846,0,0,0,0,0,0,1,1,1,1,1,1,1915.0,3.346726707424929,3.346726707424929,0.0,0.0,0.0,0.0,0.0,0.0
2,1669.815,-3.9968028886505635e-14,-3.552713678800501e-15,-1.1368683772161603e-13,0.0,-4.547473508864641e-13,0.0,118.06104544506978,399.99999999999585,399.99999999999886,300.0,310.0000000000001,140.0,0,0,0,0,0,0,1,1,1,1,1,1,1915.0,1.753954554934805,1.753954554934805,0.0,0.0,0.0,0.0,0.0,0.0
3,1590.3,-7.105427357601002e-15,1.021405182655144e-14,-4.121147867408581e-13,-5.684341886080802e-14,-5.115907697472721e-13,-0.0,54.249999999998856,399.99999999999704,400.00000000000205,300.0000000000002,296.05000000000337,140.0,0,0,0,0,0,0,1,1,1,1,1,1,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1563.795,-3.907985046680551e-14,-6.616929226765933e-14,1.2789769243681803e-13,2.842170943040401e-14,6.252776074688882e-13,-0.0,54.24999999999967,399.9999999999977,399.99999999999795,299.9999999999999,269.54500000000473,140.0,0,0,0,0,0,0,1,1,1,1,1,1,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1563.795,0.0,-1.7763568394002505e-14,2.5579538487363607e-13,1.9895196601282805e-13,-1.0800249583553523e-12,-0.0,54.25000000000058,399.9999999999932,400.00000000000364,300.0,269.5450000000025,140.0,0,0,0,0,0,0,1,1,1,1,1,1,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1590.3,0.0,8.881784197001252e-15,-9.947598300641403e-14,3.979039320256561e-13,7.389644451905042e-13,-0.0,154.99999999999943,400.00000000000296,399.9999999999943,300.0000000000002,195.30000000000175,140.0,0,0,0,0,0,0,1,1,1,1,1,1,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1961.37,-7.105427357601002e-14,-7.815970093361102e-14,2.984279490192421e-13,8.526512829121202e-14,-2.8421709430404007e-13,155.0,154.99999999999702,399.9999999999977,399.99999999999955,299.9999999999999,310.0,241.3700000000031,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2279.43,57.430000000004384,152.0,0.0,0.0,-1.1937117960769683e-12,155.0,154.9999999999996,399.99999999999716,399.9999999999984,300.00000000000006,310.0000000000003,350.0,1,1,0,0,0,1,1,1,1,1,1,1,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2517.975,152.0,152.0,143.9750000000027,5.684341886080802e-14,5.684341886080802e-14,155.0,154.9999999999999,399.9999999999977,400.00000000000045,300.00000000000017,309.99999999999926,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2544.48,152.0,151.99999999999997,167.8908530609749,1.4210854715202004e-14,1.1368683772161603e-13,155.0,154.9999999999991,399.9999999999984,399.99999999999955,300.0000000000001,310.0000000000001,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,2.589146939026707,2.589146939026707,0.0,0.0,0.0,0.0,0.0,0.0
11,2544.48,152.0,152.0,161.1994906847293,7.105427357601002e-14,-8.526512829121202e-13,155.0,155.0000000000014,399.99999999999704,400.0000000000007,300.0,310.0000000000007,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,9.280509315273017,9.280509315273017,0.0,0.0,0.0,0.0,0.0,0.0
12,2517.975,152.0,152.0,132.1805935527566,2.2737367544323206e-13,-3.979039320256561e-13,155.0,154.9999999999984,399.99999999999636,400.00000000000114,300.0000000000001,309.9999999999996,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,11.794406447247619,11.794406447247619,0.0,0.0,0.0,0.0,0.0,0.0
13,2517.975,152.00000000000003,152.00000000000003,131.88471454327293,-2.842170943040401e-14,-5.684341886080802e-14,155.0,154.99999999999943,399.9999999999977,400.00000000000045,300.0000000000001,309.99999999999966,350.0,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,12.090285456728772,12.090285456728772,0.0,0.0,0.0,0.0,0.0,0.0
