Hora,Linea,Flujo,Limite,Carga_pct
1,12-23,-500.0,500.0,100.0
2,12-23,-487.72,500.0,97.54
3,12-23,-458.98,500.0,91.8
4,12-23,-461.79,500.0,92.36
5,3-24,-363.53,400.0,90.88
6,3-24,-390.38,400.0,97.59
7,12-23,-500.0,500.0,100.0
8,12-23,-500.0,500.0,100.0
9,12-23,-500.0,500.0,100.0
10,12-23,-500.0,500.0,100.0
11,12-23,-500.0,500.0,100.0
12,12-23,-500.0,500.0,100.0
13,12-23,-500.0,500.0,100.0
14,12-23,-500.0,500.0,100.0
15,12-23,-500.0,500.0,100.0
16,12-23,-500.0,500.0,100.0
17,12-23,-500.0,500.0,100.0
18,12-23,-500.0,500.0,100.0
19,12-23,-500.0,500.0,100.0
20,12-23,-500.0,500.0,100.0
21,12-23,-500.0,500.0,100.0
22,12-23,-500.0,500.0,100.0
23,12-23,-500.0,500.0,100.0
24,3-24,-400.0,400.0,100.0
