Hora,Demanda,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Cap_comprometida,Eolica_disp,Eolica_uso,Vertimiento,Charge,Discharge,BESS_net,SOC_MWh,SOC_pct
1,1775.835,0.0,7.105427357601002e-14,-3.979039320256561e-13,1.4210854715202004e-14,-7.958078640513122e-13,78.12856591745225,154.9999999999987,399.9999999999967,400.00000000000136,300.0000000000002,278.7013395416908,140.0,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,2.292224176151547,2.292224176151547,0.0,0.0,21.712870364713364,21.712870364713364,57.144346984512254,57.14434698451225
2,1669.815,0.0,1.7763568394002505e-15,2.842170943040401e-14,-1.4779288903810084e-12,-9.663381206337363e-13,62.22431197770544,54.2499999999839,399.9999999999986,399.9999999999916,300.0,310.00000000003405,140.0,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,1.6278176575897305,1.6278176575897305,0.0,0.0,1.712870364703431,1.712870364703431,55.34132554798233,55.341325547982336
3,1590.3,0.0,2.842170943040401e-14,-4.831690603168681e-13,1.4210854715202004e-13,-7.389644451905042e-13,54.25,54.24999999998883,399.9999999999902,399.9999999999791,299.9999999999999,241.8000000000431,140.0,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,55.34132554798232,55.34132554798232
4,1563.795,-5.3290705182007514e-14,-1.6342482922482304e-13,3.836930773104541e-13,1.4210854715202004e-14,1.7053025658242404e-13,54.25,54.24999999999975,399.99999999999136,400.0000000000043,299.9999999999999,235.29500000000488,140.0,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,0.0,0.0,0.0,20.0,0.0,-20.0,74.34132554798232,74.34132554798232
5,1563.795,0.0,3.375077994860476e-14,-1.5631940186722204e-13,4.973799150320701e-13,-2.3305801732931286e-12,54.25,54.249999999999545,399.9999999999932,399.99999999999613,300.0000000000001,222.30413100213775,140.0,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,0.0,0.0,0.0,7.009131002123871,0.0,-7.009131002123871,81.0,81.0
6,1590.3,0.0,5.3290705182007514e-14,-4.831690603168681e-13,1.7053025658242404e-13,-2.5579538487363607e-12,155.0,106.79999999999458,399.9999999999893,400.00000000002115,300.0000000000001,108.499999999998,140.0,0,0,0,0,0,1,1,1,1,1,1,1,2070.0,0.0,0.0,0.0,20.0,0.0,-20.0,100.0,100.0
7,1961.37,-8.526512829121202e-14,141.54040562869628,1.3073986337985843e-12,0.0,-1.8758328224066645e-12,155.0,155.00000000000207,399.99999999999136,400.0000000000007,300.0000000000001,269.82959437130876,140.00000000000048,0,1,0,0,0,1,1,1,1,1,1,1,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
8,2279.43,142.43391671247446,152.0,75.00000000000142,-7.105427357601002e-15,-1.1937117960769683e-12,155.0,154.99999999999986,399.99999999999943,399.9999999999975,299.9999999999999,309.9999999999987,189.99608328753118,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
9,2517.975,152.0,151.99999999999997,206.2289934618592,7.105427357601002e-14,-7.958078640513122e-13,155.0,154.99999999999835,399.99999999999363,400.0000000000018,300.0000000000002,309.99999999999915,267.74600653814855,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,0.0,0.0,0.0,0.0,20.0,20.0,78.94736842105263,78.94736842105263
10,2544.48,151.99999999999994,151.99999999999991,243.34061106455786,0.0,-6.821210263296962e-13,155.0,155.00000000000068,399.99999999999795,400.0000000000002,300.0000000000001,309.99999999999943,273.80492303435915,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,3.3344659010839046,3.3344659010839046,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
11,2544.48,152.0,152.0,237.3286156003947,0.0,-5.684341886080801e-13,155.0,154.99999999999844,399.9999999999934,400.00000000000364,299.9999999999999,309.9999999999994,274.5457362078981,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,8.605648191713813,8.605648191713813,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
12,2517.975,152.0,151.99999999999997,217.033377955013,1.7763568394002505e-13,-5.684341886080801e-13,155.0,155.00000000000125,399.99999999999363,399.9999999999984,299.9999999999999,309.9999999999991,266.41466315771424,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,10.526958887280012,10.526958887280012,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
13,2517.975,151.99999999999994,151.9999999999999,214.74601710207673,7.105427357601002e-15,-2.2737367544323206e-13,155.0,154.9999999999986,399.9999999999982,400.00000000000114,300.0000000000001,309.999999999999,266.6965175041697,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,12.532465393756079,12.532465393756079,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
14,2517.975,152.0,152.0,217.9761426336397,1.2789769243681803e-13,-6.821210263296962e-13,155.0,155.00000000000063,399.9999999999927,400.00000000000136,300.0000000000002,310.0,266.29849332730873,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,9.700364039057565,9.700364039057565,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
15,2464.965,152.0,152.0,173.8157795497346,6.394884621840902e-14,7.958078640513122e-13,155.0,154.99999999999778,399.9999999999978,400.0,299.9999999999999,309.9999999999989,250.4762377626215,1,1,1,0,0,1,1,1,1,1,1,1,2724.0,16.672982687649775,16.672982687649775,0.0,0.0,0.0,0.0,78.94736842105263,78.94736842105263
